month,y10,y2,ep
2000-01,6.66,6.44,3.44
2000-02,6.52,6.61,3.6
2000-03,6.26,6.53,3.53
2000-04,5.99,6.4,3.51
2000-05,6.44,6.81,3.64
2000-06,6.1,6.48,3.55
2000-07,6.05,6.34,3.57
2000-08,5.83,6.23,3.58
2000-09,5.8,6.08,3.66
2000-10,5.74,5.91,3.77
2000-11,5.72,5.88,3.72
2000-12,5.24,5.35,3.76
2001-01,5.16,4.76,3.63
2001-02,5.1,4.66,3.6
2001-03,4.89,4.34,3.83
2001-04,5.14,4.23,3.58
2001-05,5.39,4.26,3.12
2001-06,5.28,4.08,2.97
2001-07,5.24,4.04,2.82
2001-08,4.97,3.76,2.64
2001-09,4.73,3.12,2.71
2001-10,4.57,2.73,2.52
2001-11,4.65,2.78,2.29
2001-12,5.09,3.11,2.16
2002-01,5.04,3.03,2.17
2002-02,4.91,3.02,2.24
2002-03,5.28,3.56,2.14
2002-04,5.21,3.42,2.28
2002-05,5.16,3.26,2.41
2002-06,4.93,2.99,2.64
2002-07,4.65,2.56,3.08
2002-08,4.26,2.13,3.17
2002-09,3.87,2.0,3.46
2002-10,3.94,1.91,3.42
2002-11,4.05,1.92,3.12
2002-12,4.03,1.84,3.07
2003-01,4.05,1.74,3.18
2003-02,3.9,1.63,3.51
2003-03,3.81,1.57,3.58
2003-04,3.96,1.62,3.57
2003-05,3.57,1.42,3.54
2003-06,3.33,1.23,3.5
2003-07,3.98,1.47,3.62
2003-08,4.45,1.86,3.76
2003-09,4.27,1.71,3.78
2003-10,4.29,1.75,4.04
2003-11,4.3,1.93,4.32
2003-12,4.27,1.91,4.51
2004-01,4.15,1.76,4.4
2004-02,4.08,1.74,4.45
2004-03,3.83,1.58,4.63
2004-04,4.35,2.07,4.71
2004-05,4.72,2.53,4.97
2004-06,4.73,2.76,4.96
2004-07,4.5,2.64,5.13
2004-08,4.28,2.51,5.26
2004-09,4.13,2.53,5.17
2004-10,4.1,2.58,5.19
2004-11,4.19,2.85,4.99
2004-12,4.23,3.01,4.88
2005-01,4.22,3.22,5.0
2005-02,4.17,3.38,4.97
2005-03,4.5,3.73,5.04
2005-04,4.34,3.65,5.26
2005-05,4.14,3.64,5.28
2005-06,4.0,3.64,5.26
2005-07,4.18,3.87,5.26
2005-08,4.26,4.04,5.34
2005-09,4.2,3.95,5.42
2005-10,4.46,4.27,5.67
2005-11,4.54,4.42,5.55
2005-12,4.47,4.4,5.53
2006-01,4.42,4.4,5.53
2006-02,4.57,4.67,5.62
2006-03,4.72,4.73,5.62
2006-04,4.99,4.89,5.63
2006-05,5.11,4.97,5.73
2006-06,5.11,5.12,5.94
2006-07,5.09,5.12,6.02
2006-08,4.88,4.9,6.0
2006-09,4.72,4.77,5.96
2006-10,4.73,4.8,5.83
2006-11,4.6,4.74,5.8
2006-12,4.56,4.67,5.75
2007-01,4.76,4.88,5.76
2007-02,4.72,4.85,5.72
2007-03,4.56,4.57,5.91
2007-04,4.69,4.67,5.72
2007-05,4.75,4.77,5.58
2007-06,5.1,4.98,5.61
2007-07,5.0,4.82,5.45
2007-08,4.67,4.31,5.55
2007-09,4.52,4.01,5.25
2007-10,4.53,3.97,4.84
2007-11,4.15,3.34,4.81
2007-12,4.1,3.12,4.47
2008-01,3.74,2.48,4.66
2008-02,3.74,1.97,4.6
2008-03,3.51,1.62,4.59
2008-04,3.68,2.05,4.19
2008-05,3.88,2.45,3.88
2008-06,4.1,2.77,3.83
2008-07,4.01,2.57,3.94
